Price,Date,Close,High,Low,Open,Volume
Ticker,,SPY,SPY,SPY,SPY,SPY
3272,2023-01-03,364.1340026855469,369.4981809896888,361.2749926451564,367.52844425814527,74850700
3273,2023-01-04,366.94512939453125,368.9722345195995,363.34986872415914,366.3905264117615,85934100
3274,2023-01-05,362.7570495605469,365.1092537639918,362.16422021646383,364.9945163658359,76970500
3275,2023-01-06,371.07586669921875,372.1946147969525,362.7857679206914,365.845539153224,104189600
3276,2023-01-09,370.8654479980469,376.4495872696216,370.68379991549534,373.2654787600865,73978100
3277,2023-01-10,373.4662780761719,373.53321794947027,369.3451279864,370.28219867133123,65358100
3278,2023-01-11,378.1898498535156,378.26636090740493,374.2312636370513,375.0440257972263,68881100
3279,2023-01-12,379.5667419433594,381.0297021014003,375.2256881711222,379.2894696301709,90157700
3280,2023-01-13,381.0392761230469,381.61299228704434,376.10536380133436,376.3730941204777,63903900
3281,2023-01-17,380.3412780761719,382.6935115955875,379.6623956443495,381.0201896884126,62677300
3282,2023-01-18,374.33642578125,382.58829750949707,374.1356353327088,381.526947386791,99632300
3283,2023-01-19,371.6113586425781,373.94442072442195,370.2918200719056,372.2997830998825,86958900
3284,2023-01-20,378.5341491699219,378.68714212069887,371.36276874212075,373.00740648744664,91806400
3285,2023-01-23,383.075927734375,385.0074085420892,378.38106168560785,379.337245503758,84178800
3286,2023-01-24,382.664794921875,383.57315208650715,380.21696655885887,381.4026252152029,59524900
3287,2023-01-25,382.8081970214844,383.1428671935605,376.31570073269967,378.6009940622238,84800300
3288,2023-01-26,387.0154724121094,387.1780365308271,382.5022827834098,385.466459007332,72287400
3289,2023-01-27,387.9046630859375,390.2760095744735,385.762820567528,385.97318218490153,68346200
3290,2023-01-30,383.0377502441406,387.37883383343035,382.7413355345612,385.1509087422322,74202000
3291,2023-01-31,388.66961669921875,388.7174142189188,383.20978597821664,383.554027333468,86811800
3292,2023-02-01,392.8003234863281,395.5445957142965,384.7205872650518,387.4552591361378,101459200
3293,2023-02-02,398.5183410644531,399.9813013244029,394.78922953717114,396.68245506156615,101654500
3294,2023-02-03,394.2824401855469,398.7000051703591,393.0776391240828,393.55573107794413,94736800
3295,2023-02-06,391.87286376953125,393.2689133762878,390.2186841761235,391.834637420615,60295300
3296,2023-02-07,396.9979553222656,398.24098259343725,389.7118394155706,390.9548666867422,90990700
3297,2023-02-08,392.6569519042969,396.36695047559357,391.9684982603406,395.02829871801737,76227500
3298,2023-02-09,389.25286865234375,396.4051341468822,388.02895452722424,396.25214123369045,78694900
3299,2023-02-10,390.1612854003906,390.54375312300726,387.26404936045475,388.07678232835883,70769700
3300,2023-02-13,394.7413635253906,394.8752432701656,390.3524831825662,390.81146193268944,64913500
3301,2023-02-14,394.55975341796875,396.86413102531327,390.61070909281807,393.2210725630297,88389300
3302,2023-02-15,395.84100341796875,395.9174852871057,391.52860488743005,392.3700513500147,61555700
3303,2023-02-16,390.3907470703125,394.8178830322616,390.25689650308516,390.87841017898984,76431500
3304,2023-02-17,389.4154968261719,389.6545428210452,386.34612524209655,388.2680643786122,89257800
3305,2023-02-21,381.60345458984375,386.4513142893378,381.34529542458307,385.39950609313314,82655900
3306,2023-02-22,381.0775146484375,383.55402728513724,379.62409654042705,382.0145561334285,83742300
3307,2023-02-23,383.1046447753906,384.577176151522,378.88787027584414,383.965204449082,96242400
3308,2023-02-24,379.01214599609375,379.8440212478962,376.3922116756281,378.0942177024235,108194400
3309,2023-02-27,380.3030090332031,383.707021167783,379.3659383654355,382.3492272761536,80444700
3310,2023-02-28,378.89752197265625,381.7851874586126,378.7923265475118,379.82502171973454,96438600
3311,2023-03-01,377.4440612792969,379.30863174384257,376.1436650512144,378.0847173960627,99706800
3312,2023-03-02,380.3795471191406,381.2209936912257,375.1396483986959,375.4743186281051,85127800
3313,2023-03-03,386.4799499511719,386.7285670881584,381.54603781817946,382.1962358283126,90120000
3314,2023-03-06,386.7477111816406,389.59714976739536,386.3078747490803,387.3022850157021,72795900
3315,2023-03-07,380.8193664550781,386.93896700217493,380.20742390861926,386.699921017692,108310600
3316,2023-03-08,381.4408874511719,382.19625170885286,379.212962662717,380.9341111603913,74746600
3317,2023-03-09,374.4033508300781,383.8887075845493,373.4184826190144,382.22492782127654,111945300
3318,2023-03-10,369.0009460449219,375.93327957719293,367.4806170891498,373.8583475978051,189253000
3319,2023-03-13,368.4750061035156,373.2846390345943,363.9713881978472,365.0805650006383,157790000
3320,2023-03-14,374.56591796875,376.21055539266825,370.0909552792131,373.38980130348455,149752400
3321,2023-03-15,372.2232666015625,372.4240570496017,366.89731528704147,368.98181836154816,172996900
3322,2023-03-16,378.7539978027344,379.0982391870772,369.36429390384325,369.87107021323396,143254200
3323,2023-03-17,374.3253479003906,378.55821591341066,372.94318572096427,377.4256197444262,140553400
3324,2023-03-20,377.9247131347656,378.33746367070916,374.40214170963634,375.1028011958168,93055800
